regalCode;description;Retail Excl VAT;Trade Excl VAT;trade;retail;category;
CD20-1;HIK 16-ch 5MP AcuSense DVR 2 SATA;12873.00;8786.00;10103.9;14803.95;suv;
CD23;HIK 16Ch Turbo 4.0 DVR HD-TVI 1080p;4030.00;2754.00;3167.1;4634.5;suv;
CD23-1;HIK 16Ch Turbo 4.0 DVR HD-TVI 4TB HDD;6539.00;4463.00;5132.45;7519.85;suv;
CD26;HIK 16 Ch AcuSense DVR - 4ch False Alarm;6251.00;4271.00;4911.65;7188.65;suv;
CD26-1;HIK 16 Ch AcuSense DVR - incl 4TB HDD;8413.00;5768.00;6633.2;9674.95;suv;
CD133;HIK 32Ch DVR Tribrid HD-TVI 720p 4 SATA;17556.00;11998.00;13797.7;20189.4;suv;
CD133-1;HIK 32Ch DVR HD-TVI 720p 2U 4TB HDD;19475.00;13292.00;15285.8;22396.25;suv;
CD134;HIK 32Ch AcuSense DVR HD-TVI Tribrid 108;10087.00;6893.00;7926.95;11600.05;suv;
CD134-1;HIK 32 Ch AcuSense DVR incl 4TB HDD;12787.00;8727.00;10036.05;14705.05;suv;
;;;;0;0;suv;
Prices are subject to change without prior notice.;;;;0;0;suv;
E&OE. Valid until 31st March 2023.;Page: 5;;;0;0;suv;
www.REGALSECURITY.co.za;05/03/2023;;;0;0;suv;
;;;;0;0;suv;
Trade Price List;;;;0;0;suv;
SURVEILLANCE;;;;0;0;suv;
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;suv;
;HIKVISION HD-TVI BULLET CAMERAS;;;0;0;suv;
CC376-2;HIK HD-TVI Bullet Camera 1080p - IR 25m;584.00;399.00;458.85;671.6;suv;
CC376-6;HIK HD-TVI Bullet Cam 1080p IR 20M 2.8mm;326.00;195.00;224.25;374.9;suv;
CC376-8;HD-TVI ColorVu PIR Bullet Camera 1080p;1721.00;1174.00;1350.1;1979.15;suv;
CC376-9;HD-TVI ColorVu Bullet Camera 1080p - 2.8;732.00;499.00;573.85;841.8;suv;
CC376-10;HD-TVI ColorVu Bullet Cam 1080p - 2.8mm;856.00;585.00;672.75;984.4;suv;
CC376-12;HIK HD-TVI ColorVu Fixed Bullet Cam1080p;992.00;682.00;784.3;1140.8;suv;
CC376-13;2MP Dual Light Audio Fixed Mini Bullet;717.00;489.00;562.35;824.55;suv;
CC377;HIK HD-TVI Bullet 1080p EXIR IR 40M 3.6m;752.00;512.00;588.8;864.8;suv;
CC377-1;HIK HD-TVI Bullet 1080p EXIR 50M 2.8mm;987.00;674.00;775.1;1135.05;suv;
CC379;HIK Bullet Cam HD-TVI 1080p IR40m VF;1170.00;799.00;918.85;1345.5;suv;
CC268;HD-TVI EXIR 5MP Bullet Cam IR 30m 2.8mm;1154.00;775.00;891.25;1327.1;suv;
CC268-1;HD-TVI EXIR 5MP Bullet Cam IR 80m MVF;2547.00;1740.00;2001;2929.05;suv;
;HIKVISION HD-TVI DOME CAMERAS;;;0;0;suv;
CC386-1;HIK HD-TVI Dome 4 in 1 1080P IR25m 2.8mm;584.00;399.00;458.85;671.6;suv;
CC386-2;HIK HD-TVI Dome 4in1 1080P IR 20M 3.6mm;520.00;355.00;408.25;598;suv;
CC386-6;HD-TVI Plastic Dome Cam 1080p IR 20m;303.00;195.00;224.25;348.45;suv;
CC386-8;HD-TVI ColorVu Dome Camera 1080p - 2.8mm;1645.00;1124.00;1292.6;1891.75;suv;
CC386-9;HD-TVI ColorVu Dome Camera 1080p - 2.8mm;776.00;530.00;609.5;892.4;suv;
CC386-13;2MP Dual Light Audio Fixed Turret 2.8mm;601.00;410.00;471.5;691.15;suv;
CC387;HIK HD-TVI Dome 720p EXIR IR 40M 3.6mm;663.00;453.00;520.95;762.45;suv;
CC387-1;HIK HD-TVI Dome 1080p EXIR 40M 3.6mm;874.00;595.00;684.25;1005.1;suv;
CC388-2;HIK HD-TVI Turret Cam 1080p IR40m VF;1301.00;889.00;1022.35;1496.15;suv;
CC269;HD-TVI EXIR 5MP Turret Cam IR 30m 2.8mm;1293.00;883.00;1015.45;1486.95;suv;
CC269-1;HD-TVI EXIR 5MP Dome Cam IR60m MVF;2307.00;1576.00;1812.4;2653.05;suv;
;PTZ CAMERAS & ACCESSORIES - HIKVISION;;;0;0;suv;
CC98-3;HIK HD-TVI PTZ Camera CMOS 1080p 25 x OZ;6895.00;4712.00;5418.8;7929.25;suv;
CC95-1;HIK Speed Dome Keyboard Network Control;5481.62;3741.00;4302.15;6303.863;suv;
CC468-2;HIK PTZ Brkt Pendant Mnt for CC99 CC99-1;536.00;366.00;420.9;616.4;suv;
CC468-3;HIK PTZ Bracket Corner Mount White;664.00;452.00;519.8;763.6;suv;
CC468-4;HIK PTZ Bracket Pole Mount White;664.00;453.00;520.95;763.6;suv;
CC468-5;HIK Compact PTZ Bracket Wall Mount White;458.00;312.00;358.8;526.7;suv;
CC468-10;HIK Speed Dome EI Coupling Ring White;108.00;74.00;85.1;124.2;suv;
CA21;SP Uni Cam Mnt Enclose 115x115x48mm;58.00;39.00;44.85;66.7;suv;
CA21-5;SP Enclose Blk Uni Cam Mnt 115x115x48mm;58.00;39.00;44.85;66.7;suv;
CA21-1;SP L Uni Cam Mnt Enclose 161x161x48mm Wh;88.00;59.00;67.85;101.2;suv;
;;;;0;0;suv;
Prices are subject to change without prior notice.;;;;0;0;suv;
E&OE. Valid until 31st March 2023.;Page: 6;;;0;0;suv;
www.REGALSECURITY.co.za;05/03/2023;;;0;0;suv;
;;;;0;0;suv;
Trade Price List;;;;0;0;suv;
SURVEILLANCE;;;;0;0;suv;
Our Code;Item Description;;Retail Excl VAT;#VALUE!;0;suv;
NVR's - Mini Embedded HIKVISION;;;;0;0;suv;
CD61-1;HIK 4Ch Mini NVR 25Mbps 1 SATA H;;3732.00;4291.8;0;suv;
CD62-1;HIK 8Ch Mini NVR 50Mbps 1 SATA 1;;4934.00;5674.1;0;suv;
CD64-1;HIK 4Ch Mini NVR 1SATA 1HDMI No PoE 1TBH;;2792.00;3210.8;0;suv;
CD65-1;HIK 8Ch Mini NVR 1SATA 1HDMI No PoE 2TBH;;3332.00;3831.8;0;suv;
NVR's - Embedded HIKVISION;;;;0;0;suv;
CD70-4;HIK 8 Ch NVR 80Mbps 8 PoE - 2 SATA Bay;;5485.00;6307.75;0;suv;
CD70-5;HIK 8 Ch NVR 80Mbps 8 PoE 2 SATA 2TB HD;;7278.00;8369.7;0;suv;
CD70-6;HIK 8 Ch NVR 80Mbps 8 PoE 2 SATA 4TBHDD;;8306.00;9551.9;0;suv;
CD71-4;HIK 8 Ch NVR 80Mbps;Alarm IO 2SATA NoPo;3316.00;3813.4;#VALUE!;suv;
CD71-5;HIK 8 Ch NVR 80Mbps IO 2 SATA No PoE 3T;;5758.00;6621.7;0;suv;
CD72-4;HIK 16 Ch NVR 160Mbps Alarm IO - No PoE;;3779.00;4345.85;0;suv;
CD72-5;HIK 16 Ch NVR 160Mbps IO - No PoE  3TB;;6235.00;7170.25;0;suv;
CD75;NVR HIKVISION 16 Channel Embedded no PoE;;7926.00;9114.9;0;suv;
CD75-1;HIK 16Ch NVR 160Mbps No PoE 2SATA 3TBHDD;;9197.00;10576.55;0;suv;
CD76-9;HIK 16Ch NVR 160Mbps 16PoE 2SATA AlarmIO;;7842.00;9018.3;0;suv;
CD76-3;HIK 16 Ch NVR 160Mbps 16PoE Alarm IO 3TB;;10047.00;11554.05;0;suv;
CD90;HIK 16ch AcuSense NVR with 4ch False Ala;;12221.00;14054.15;0;suv;
CD92;16 Channel AcuSense NVR 256Mbps with 16;;13463.00;15482.45;0;suv;
CD94;HIK 16 Ch DeepInMind NVR with No PoE;;51190.00;58868.5;0;suv;
CD74;HIK 32 Channel Embedded NVR 9632;;28516.00;32793.4;0;suv;
CD74-1;HIK 32 Channel Embedded NVR 9632 3TB HDD;;28964.30;33308.945;0;suv;
CD91;HIK 32ch AcuSense NVR with 4ch False Ala;;13582.00;15619.3;0;suv;
CD93;32 Channel AcuSense NVR 256Mbps with 16;;17871.00;20551.65;0;suv;
CD95;HIK 32 Ch DeepInMind NVR with No PoE;;54394.00;62553.1;0;suv;
CD77;HIKVISION Embedded NVR 64 Channel 160Mbp;;43691.00;50244.65;0;suv;
CD77-1;HIKVISION NVR 64 Channel 160Mbp 4TBHDD;;45421.00;52234.15;0;suv;
CDC999-HC;CCTV R250 Dell Video Management Server;;82668.00;95068.2;0;suv;
CDC999-VSS;CCTV R250 VSS Video Management Server;;79469.00;91389.35;0;suv;
;;;;0;0;suv;
Prices are subject to change without prior notice.;;;;0;0;suv;
E&OE. Valid until 31st March 2023.;Page: 7;;;0;0;suv;
www.REGALSECURITY.co.za;05/03/2023;;;0;0;suv;
;;;;0;0;suv;
Trade Price List;;;;0;0;suv;
SURVEILLANCE;;;;0;0;suv;
Our Code;Item Description;;Retail Excl VAT;#VALUE!;0;suv;
IP CAMERAS - HIKVISION Bullets;;;;0;0;suv;
CC400;HIK 2MP Mini Bullet Cam 2.8mm EasyIP 1.0;;1951.00;2243.65;0;suv;
CC400-1;HIK 2MP Dome Cam 2.8mm Lens EasyIP 1.0;;2091.00;2404.65;0;suv;
CC400-2;HIK 4MP Mini Bullet Cam IR30m EasyIP 1.0;;2198.00;2527.7;0;suv;
CC401;HIK 2MP Bullet Cam IR60m 2.8-12mm EasyIP;;3830.24;4404.776;0;suv;
CC401-1;HIK 2MP Dome Cam IR40m 2.8-12mm EasyIP;;4052.97;4660.9155;0;suv;
CC409-AS;2MP AcuSense Bullet Cam - 2.8mm Fixed;;3278.00;3769.7;0;suv;
CC409-2TAS;2MP AcuSense Bullet Cam - 6mm Fixed Lens;;3216.29;3698.7335;0;suv;
CC409-4TAS;4MP AcuSense Bullet Cam - 4mm Fixed Lens;;3792.00;4360.8;0;suv;
CC409-6;HIK IP Cam 2MP Bullet IR 20M - 4mm IP66;;2926.17;3365.0955;0;suv;
CC409-16;HIK IP Cam 2MP Bullet IR 30M 2.8mm IP67;;2972.00;3417.8;0;suv;2.8mm
CC409-8;HIK IP Cam 2MP EXIR Bullet 50M 6mm IP66;;3369.00;3874.35;0;suv;
CC409-10;HIK IP Cam 2MP EXIR Bullet 80M 6mm IP66;;3521.00;4049.15;0;suv;
CC409-14;2MP ColorVu - Acusense Bullet 4mm Fixed;;3960.00;4554;0;suv;
CC409-15;4MP ColorVu - AcuSense Bullet 4mm Fixed;;4355.00;5008.25;0;suv;
CC409-16;HIK IP Cam 2MP Bullet IR 30M 2.8mm IP67;;2972.00;3417.8;0;suv;2.8mm
CC409-17;2MP ColorVu - AcuSense Mini Bullet 2.8mm;;3257.32;3745.918;0;suv;
CC409-18;4MP ColorVu - AcuSense Mini Bullet 2.8mm;;3756.98;4320.527;0;suv;
CC409-W;2MP AcuSense Bullet - IR 30m - 2.8mm;;3038.99;3494.8385;0;suv;
CC410-2;HIK IP Cam 2MP Bullet;50m MVF 2.8-12mm;5544.62;6376.313;#VALUE!;suv;
CC410-2B;HIK IP Cam 2MP Bullet IR 50M MVF 2.8-12m;;5209.07;5990.4305;0;suv;DS-2CD2625FWD-IZS(Black) (2.8-12mm)
CC410-AS;2MP AcuSense Bullet Camera - MVF 2.8-12m;;5269.15;6059.5225;0;suv;DS-2CD2626G2-IZSU/SL (2.8-12mm)
CC410-4;HIK IP Cam 4MP Bullet IR 50m MVF 2.8-12m;;17378.00;19984.7;0;suv;
CC406;HIK IP Cam 4MP Darkfighter Bullet IR30m;;3479.00;4000.85;0;suv;
CC406-1;HIK IP Cam 4MP AcuSense Bullet IR60m;;3582.00;4119.3;0;suv;
CC406-2;HIK IP Cam 4MP AcuSense Bullet IR80m;;3726.21;4285.1415;0;suv;
CC406-3;HIK IP Cam 4MP Darkfighter Bullet IR50m;;7163.00;8237.45;0;suv;DS-2CD2646G2-IZSU/SL 2.8-12mm
CC406-10;8MP Bullet Camera - IR 30m - 4mm Fixed L;;4052.00;4659.8;0;suv;
CC406-11;8MP Bullet Camera - IR 50m - MVF 2.8-12m;;8492.00;9765.8;0;suv;DS-2CD2686G2-IZS(2.8mm-12mm)
CC406-12;8MP EXIR Bullet Camera - IR 80m - 6mm Fi;;5128.00;5897.2;0;suv;
CC406-B;4MP AcuSense Bullet Cam - IR 40m - 2.8mm;;3247.06;3734.119;0;suv;DS-2CD2046G2-IU (2.8mm) (Black)
CC409-W;2MP AcuSense Bullet - IR 30m - 2.8mm;;3038.99;3494.8385;0;suv;
CC513;HIK 7L IP Cam 2MP Bullet DL ANPR MVF;;11147.00;12819.05;0;suv;iDS-2CD7A26G0/P-IZHS(2.8-12mm)
CC513-2;HIK 7L IP Cam 2MP Bullet DL ANPR 8-32mm;;13257.00;15245.55;0;suv;
CC513-6;2MP ANPR Bullet Cam - IR 50m - MVF;;13186.00;15163.9;0;suv;iDS-2CD7A26G0/P-IZHSY(2.8-12mm)
CC515;HIK 4MP Smart Bullet Cam IR 200m - MVF;;15732.72;18092.628;0;suv;
IP CAMERAS - HIKVISION Domes;;;;0;0;suv;
CC400-1;HIK 2MP Dome Cam 2.8mm Lens EasyIP 1.0;;2091.00;2404.65;0;suv;
CC400-3;HIK 4MP Mini Dome Cam IR30m EasyIP 1.0;;2170.00;2495.5;0;suv;-
CC401-1;HIK 2MP Dome Cam IR40m 2.8-12mm EasyIP;;4052.97;4660.9155;0;suv;
CC407-2;HIK IP Cam 2MP Mini Dome IR 10M 2.8mm;;3641.00;4187.15;0;suv;
CC407-5;4MP Darkfighter Mini Dome Camera - IR 10;;4054.00;4662.1;0;suv;
CC408-AS;2MP AcuSense Dome Cam - 4mm Fixed Lens;;3002.36;3452.714;0;suv;
CC408-6;HIK IP Cam 2MP Dome IR 30M - 4mm - IP67;;3185.00;3662.75;0;suv;
CC408-9;HIK IP Cam 2MP Dome IR 30m MVF 2.8-12mm;;6162.00;7086.3;0;suv;
CC408-11;HIK IP Cam 2MP Dome IR 30M - 2.8mm IP67;;3170.00;3645.5;0;suv;
CC408-14;4MP AcuSense Dome Cam IR 30m 2.8mm Lens;;3430.00;3944.5;0;suv;
CC408-14B;4MP AcuSense Dome Cam - IR 30m - 2.8mm;;3080.02;3542.023;0;suv;DS-2CD2146G2-ISU (2.8mm) (Black)
CC408-15;4MP AcuSense Dome Cam IR 30m MVF 2.8-12m;;6492.00;7465.8;0;suv;
CC408-16;4MP AcuSense Dome Camera - IR 30m - 4mm;;2927.63;3366.7745;0;suv;
CC408-20;8MP Dome Camera - IR 30m - 2.8mm Fixed L;;4392.91;5051.8465;0;suv;
CC408-21;8MP Dome Camera  - IR 30m - MVF 2.8-12mm;;7887.61;9070.7515;0;suv;
CC408-23;Hik 2MP ColorVu Dome Cam 2.8mm IP67 IK10;;3593.00;4131.95;0;suv;
CC435-4;2MP AcuSense Turret Cam - IR 30m- 2.8mm;;2603.00;2993.45;0;suv;DS-2CD2326G2-I(2.8mm)(D)(O-STD)
WiFi CAMERAS - HIKVISION;;;;0;0;suv;
CC599;Wi-Fi Bullet Camera C3TN 3MP 2.8mm Lens;;1396.00;1605.4;0;suv;
CC599-1;Wi-Fi PT Camera C6N 2MP 4mm Lens;;964.00;1108.6;0;suv;
CC599-2;Wi-Fi Flood Light Camera LC1C 2MP;;3611.00;4152.65;0;suv;
CC599-3;Wi-Fi Bullet Camera C3W 4MP 2.8mm Lens;;2235.00;2570.25;0;suv;
CC599-4;Wi-Fi Battery Powered Camera BC1C 2MP;;3028.00;3482.2;0;suv;
CC599-5;Wi-Fi PT Camera Outdoor C8C 2MP 4mm Lens;;1973.00;2268.95;0;suv;
CC599-6;Wi-Fi Door Light Camera LC3 4MP;;2807.00;3228.05;0;suv;
CC599-7;Solar Panel;;813.00;934.95;0;suv;
CC599-8;Wi-Fi PT Camera C8PF Dual-Lens 2MP;;2794.00;3213.1;0;suv;
CC599-9;Wi-Fi Battery Powered Video Doorbell DB2;;3024.00;3477.6;0;suv;
CC599-10;Wi-Fi Battery Powered Camera CB3 2MP;;2356.00;2709.4;0;suv;
CC599-11;Wi-Fi PT Battery Powered Camera HB8;;3814.00;4386.1;0;suv;
Prices are subject to change without prior notice.;;;;0;0;suv;
E&OE. Valid until 31st March 2023.;;;;0;0;suv;Page: 8
;;;www.REGALSECURITY.co.za;#VALUE!;0;suv;05/03/2023
;;;;0;0;suv;
Trade Price List;;;;0;0;suv;
SURVEILLANCE;;;;0;0;suv;
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;suv;
;IP CAMERAS - Deep In View;;;0;0;suv;
CC444;HIK Dual Lens People Counting Cam 2.0mm;20439.20;13949.00;16041.35;23505.08;suv;
CC500;Hikvision 2MP Facial Capture Dome Cam;12188.21;8318.00;9565.7;14016.4415;suv;
CC500-1;Hikvision 2MP Facial Capture Dome Cam;12683.47;8656.00;9954.4;14585.9905;suv;
CC501;Hikvision 2MP Facial Capture Bullet Cam;13209.51;9015.00;10367.25;15190.9365;suv;
;;;;0;0;suv;
CC501-1;Hikvision 2MP Facial Capture Bullet Cam;16343.74;11154.00;12827.1;18795.301;suv;
CC504;4MP Facial Recognition Camera IR30m;11934.71;8145.00;9366.75;13724.9165;suv;
CC504-1;HIK 4MP Facial Recognition Dome IR50m;13198.00;9017.00;10369.55;15177.7;suv;
;IP CAMERAS - HIKVISION Other;;;0;0;suv;
CC428-1;"HIK Cam IP 1/3"" 6MP CMOS WDR Fisheye";17385.00;11881.00;13663.15;19992.75;suv;
CC428-2;HIK IP Cam 5MP Fisheye IR 8m - 1.05mm;4509.00;3081.00;3543.15;5185.35;suv;
CC428-4;"HIK IP Cam 1/3""CMOS 2mm 12MP WDR Fisheye";19016.00;12992.00;14940.8;21868.4;suv;
CC439-2;IP Camera LPinhole Covert 2 MP;7065.00;4828.00;5552.2;8124.75;suv;
CC700;4MP Solar Power Bullet Camera - Incl 4G;7868.56;5370.00;6175.5;9048.844;suv;
;THERMAL NETWORK CAMERAS;;;0;0;suv;
CC348;HIK Thermal Bullet 7mm 384 x 288 - IP67;58304.99;39791.00;45759.65;67050.7385;suv;
CC349;HIK Thermal Bullet 10mm 384 x 288 - IP67;53334.76;36399.00;41858.85;61334.974;suv;
CC350;HIK Thermal Bullet Cam 384 x 288 15mm;54220.00;37055.00;42613.25;62353;suv;
CC351;HIK Thermal Bullet Cam 384 x 288 25mm;60584.00;41404.00;47614.6;69671.6;suv;
CC351-1;Thermal Bullet Cam 384 x 288 Res 35mm;65938.00;45063.00;51822.45;75828.7;suv;
CC352;HIK Thermal Bullet Cam 640 x 512 15mm;104949.28;71624.00;82367.6;120691.672;suv;
CC353;HIK Thermal Bullet Cam 640 x 512 25mm;104949.28;71624.00;82367.6;120691.672;suv;
CC354;HIK Thermal Dual Lens Bullet Cam - 25mm;68670.39;46865.00;53894.75;78970.9485;suv;
On;;;;0;0;suv;
CC355;HIK Thermal Dual Lens Bullet CaM - 50mm;123536.37;84309.00;96955.35;142066.8255;suv;
;;;Request;#VALUE!;0;suv;
CC356;HIK Thermal Bullet Cam - 75mm Lens;132540.52;90454.00;104022.1;152421.598;suv;
CC358-1;HIK Thermal PT 25mm - IR 150M Dual Lens;120797.00;82555.00;94938.25;138916.55;suv;
CC359-1;HIK Thermal PT 50mm - IR 150M Dual Lens;151765.00;103719.00;119276.85;174529.75;suv;
CC360;Thermal Dual Lens Eco Bullet Cam - 7mm;9946.00;6797.00;7816.55;11437.9;suv;
CC360-1;Thermal Dual Lens Eco Bullet Cam - 10mm;10486.00;7166.00;8240.9;12058.9;suv;
CC361;Thermal Dual Lens Eco Dome Camera - 3mm;9672.00;6610.00;7601.5;11122.8;suv;
CC361-1;Thermal Dual Lens Eco Dome Camera - 7mm;9685.51;6610.00;7601.5;11138.3365;suv;
CC361-2;Hik Dual Lens Turret Cam - 3mm;10822.00;6291.00;7234.65;12445.3;suv;
IP CAMERAS - HIKVISION Brackets & Junction Boxes;;;;0;0;suv;
CC198;HIK Dome Wall Mount Brkt for IP VF Domes;369.00;257.00;295.55;424.35;suv;
CC198-3;HIK Fisheye Pendant Brkt for CC428 Only;637.00;435.00;500.25;732.55;suv;
CC198-4;HIK Fisheye Junction Box for CC428 Only;239.00;163.00;187.45;274.85;suv;
CC198-5;HIK Dome Wall Mount Brkt for Mini-Domes;412.00;281.00;323.15;473.8;suv;
CC198-6;HIK Dome Wall Mnt Brkt & Box for VF Dome;583.00;398.00;457.7;670.45;suv;
CC198-9;HIK Wall Mount Bracket for VF Dome White;756.00;516.00;593.4;869.4;suv;
CC198-10;HIK Wall Mount Bracket for IP Domes;379.00;258.00;296.7;435.85;suv;
CC198-11;HIK Mini Dome Junction Box White;480.00;328.00;377.2;552;suv;
CC198-12;HIK Junction Box Camera Bracket - White;458.00;305.00;350.75;526.7;suv;
CC198-13;HIK Junction Box Camera Bracket White;301.00;205.00;235.75;346.15;suv;
CC198-14;HIK Junction Box Dome Cam Bracket White;253.00;172.00;197.8;290.95;suv;
CC198-15;HIK Cam Bracket Power Box  for CC409-2;358.00;230.00;264.5;411.7;suv;
CC198-16;Wall mount bracket PanoVu Mini Series In;395.00;264.00;303.6;454.25;suv;
CA21;SP Uni Cam Mnt Enclose 115x115x48mm;58.00;39.00;44.85;66.7;suv;
CA21-1;SP L Uni Cam Mnt Enclose 161x161x48mm Wh;88.00;59.00;67.85;101.2;suv;
CA21-5;SP Enclose Blk Uni Cam Mnt 115x115x48mm;58.00;39.00;44.85;66.7;suv;
;;;;0;0;suv;
Prices are subject to change without prior notice.;;;;0;0;suv;
E&OE. Valid until 31st March 2023.;Page: 9;;;0;0;suv;
www.REGALSECURITY.co.za;05/03/2023;;;0;0;suv;
;;;;0;0;suv;
Trade Price List;;;;0;0;suv;
SURVEILLANCE;;;;0;0;suv;
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;suv;
;IP CAMERAS - HIKVISION PTZ Domes & Accessories;;;0;0;suv;
CC466-2;HIKVISION Camera PTZ 2MP 25 x OZ IR 50m;12840.26;8763.00;10077.45;14766.299;suv;
CC466-3;HIKVISION PTZ 2MP - 25 x OZ ? IR 100m;10256.00;7009.00;8060.35;11794.4;suv;
CC467;HIKVISION Camera PTZ 2MP 25 x OZ;11807.23;8058.00;9266.7;13578.3145;suv;
CC467-7;HIKVISION Cam PTZ 2MP IR 150m 25 x OZ;14311.40;9767.00;11232.05;16458.11;suv;
CC467-7-1;Hik  2MP Outdoor PTZ Cam - IR 200m;14961.00;10224.00;11757.6;17205.15;suv;
CC467-10;HIKV 4 MP 25X Powered;12255.00;8375.00;9631.25;14093.25;suv;
