regalCode;description;trade exc;retail exc;trade;retail;subcategory;category
CP422B;Ajax Hub Plus black;4610.10;5301.62;5301.615;6096.863;ajax;intr
CP422W;Ajax Hub Plus white;4583.00;5270.45;5270.45;6061.0175;ajax;intr
CP423B;Ajax Hub 2 Plus Black 200 Devices LTE Wi;5237.70;6023.36;6023.355;6926.864;ajax;intr
CP423W;Ajax Hub 2 Plus white;4959.50;5923.65;5703.425;6812.1975;ajax;intr
CP424W;Ajax Hub 2 4G White;4608.50;5299.78;5299.775;6094.747;ajax;intr
CP450W;Ajax StarterKit Cam Plus - Hub 2p + Moti;8298.90;9543.74;9543.735;10975.301;ajax;intr
CP430W;Ajax Keypad white;1334.00;1534.10;1534.1;1764.215;ajax;intr
CP430B;Ajax Keypad black;1334.00;1534.10;1534.1;1764.215;ajax;intr
CP431B;Ajax Keypad Plus Black;1574.40;1822.75;1810.56;2096.1625;ajax;intr
CP431W;Ajax Keypad Plus White;1574.40;1822.75;1810.56;2096.1625;ajax;intr
CP440B;Ajax ReX black;1674.00;1925.10;1925.1;2213.865;ajax;intr
CP440W;Ajax ReX white;1674.90;1926.14;1926.135;2215.061;ajax;intr
CP441B;Ajax MultiTransmitter;2096.70;2411.21;2411.205;2772.8915;ajax;intr
CP442B;Ajax ReX 2 Repeater 220VAC or 12VDC 12V;2334.00;2684.10;2684.1;3086.715;ajax;intr
CP442W;Ajax ReX 2 Repeater 220VAC or 12VDC 12V;2334.00;2684.10;2684.1;3086.715;ajax;intr
CP443B;Ajax VHF Bridge Black;1299.00;1932.00;1493.85;2221.8;ajax;intr
CP443W;Ajax VHF Bridge White;1777.00;2043.55;2043.55;2350.0825;ajax;intr
;"REMOTE CONTROLS; RELAYS; SWITCHES AND TRANSMITTERS";;;0;0;ajax;intr
SW420B;Ajax Button black;418.00;480.70;480.7;552.805;ajax;intr
SW420W;Ajax Button white;420.00;483.00;483;555.45;ajax;intr
SW421B;Ajax Holder for Button-DoubleButton blac;77.70;89.36;89.355;102.764;ajax;intr
SW421W;Ajax holder for Button;66.00;75.90;75.9;87.285;ajax;intr
SW422B;Ajax Tag Black;78.90;91.31;90.735;105.0065;ajax;intr
SW422W;Ajax Tag White;78.90;91.31;90.735;105.0065;ajax;intr
SW424B;Ajax SpaceControl black;420.10;483.12;483.115;555.588;ajax;intr
SW424W;Ajax SpaceControl white;420.10;483.12;483.115;555.588;ajax;intr
SW425B;Ajax Card Black (10Pcs);723.90;838.35;832.485;964.1025;ajax;intr
SW426;Ajax Relay;626.50;720.48;720.475;828.552;ajax;intr
SW427;Ajax Transmitter;670.70;771.31;771.305;887.0065;ajax;intr
SW423B;Ajax WallSwitch black;550.30;637.10;632.845;732.665;ajax;intr
SW428W;Ajax Socket white;1001.00;1151.15;1151.15;1323.8225;ajax;intr
SW429B;Ajax LeaksProtect Black;629.80;729.10;724.27;838.465;ajax;intr
SW429W;Ajax LeaksProtect white;629.80;729.10;724.27;838.465;ajax;intr
SW430;Ajax ocBridge Plus;821.10;951.05;944.265;1093.7075;ajax;intr
SW431;Ajax uartBridge;426.70;494.50;490.705;568.675;ajax;intr
;;;;0;0;ajax;intr
Prices are subject to change without prior notice.;;;;0;0;ajax;intr
E&OE. Valid until 31st March 2023.;Page: 27;;;0;0;ajax;intr
www.REGALSECURITY.co.za;05-03-2023;;;0;0;ajax;intr
;;;;0;0;ajax;intr
Trade Price List;;;;0;0;ajax;intr
INTRUSION;;;;0;0;ajax;intr
Our Code;Item Description;Trade Excl VAT;Trade Incl VAT;#VALUE!;#VALUE!;ajax;intr
POWER SUPPLY MODULES;;;;0;0;ajax;intr
PS420;Ajax 12V PSU for Hub-Hub Plus -Rex;335.40;385.71;385.71;443.5665;ajax;intr
PS421;Ajax 12V PSU for Hub 2;335.40;385.71;385.71;443.5665;ajax;intr
PS422;Ajax 6V PSU for Hub 2 Plus;315.50;364.55;362.825;419.2325;ajax;intr
DOOR SENSORS;;;;0;0;ajax;intr
MC420B;Ajax DoorProtect black;502.00;577.30;577.3;663.895;ajax;intr
MC420W;Ajax DoorProtect white;474.00;545.10;545.1;626.865;ajax;intr
MC420B;Ajax DoorProtect black;502.00;577.30;577.3;663.895;ajax;intr
MC422W;Ajax DoorProtect Plus white;753.10;866.07;866.065;995.9805;ajax;intr
MOTION AND VIBRATION SENSORS;;;;0;0;ajax;intr
BD420B;Ajax MotionProtect black;751.80;864.57;864.57;994.2555;ajax;intr
BD420W;Ajax MotionProtect white;751.80;864.57;864.57;994.2555;ajax;intr
BD422W;Ajax MotionProtect Plus white;1175.30;1351.60;1351.595;1554.34;ajax;intr
BD423W;Ajax CombiProtect white;1175.30;1351.60;1351.595;1554.34;ajax;intr
BD425W;Ajax MotionProtect Curtain white;1006.10;1157.02;1157.015;1330.573;ajax;intr
BD426W;Ajax DualCurtain Outdoor white;2673.80;3074.87;3074.87;3536.1005;ajax;intr
BD426-9W;Ajax SmartBracket DualCurtain Out Wht;220.80;256.45;253.92;294.9175;ajax;intr
BD427W;Ajax MotionProtect Outdoor white;2178.70;2505.51;2505.505;2881.3365;ajax;intr
BD427-1W;Ajax Hood for MotionProtect Outdoor Whit;169.20;194.58;194.58;223.767;ajax;intr
BD428B;Ajax GlassProtect black;651.80;749.57;749.57;862.0055;ajax;intr
BD428W;Ajax GlassProtect white;651.80;749.57;749.57;862.0055;ajax;intr
PIR AND CAMERAS INDOOR;;;;0;0;ajax;intr
CC550W;Ajax MotionCam white;1918.00;2205.70;2205.7;2536.555;ajax;intr
CC550B;Ajax MotionCam black;1811.70;2095.30;2083.455;2409.595;ajax;intr
CC551B;Ajax MotionCam (PhOD) Black;2100.00;2415.00;2415;2777.25;ajax;intr
CC551W;Ajax MotionCam (PhOD) White;2109.40;2425.81;2425.81;2789.6815;ajax;intr
CC552W;Ajax MotionCam White Outdoor;3353.50;3856.53;3856.525;4435.0095;ajax;intr
CC553W;Ajax MotionCam Outdoor (PhOD) White;3688.80;4242.12;4242.12;4878.438;ajax;intr
CC552-9W;Ajax SmartBracket MotionCam Out Wht;199.50;229.43;229.425;263.8445;ajax;intr
SMOKE AND HEAT SENSORS;;;;0;0;ajax;intr
FR420B;Ajax FireProtect black;998.00;1147.70;1147.7;1319.855;ajax;intr
FR420W;Ajax FireProtect white;1006.10;1157.02;1157.015;1330.573;ajax;intr
FR421B;Ajax FireProtect Plus Black (with CO);1502.00;1727.30;1727.3;1986.395;ajax;intr
FR421W;Ajax FireProtect Plus White (with CO);1502.00;1727.30;1727.3;1986.395;ajax;intr
WARNING DEVICES;;;;0;0;ajax;intr
SD420B;Ajax HomeSiren black;839.90;965.89;965.885;1110.7735;ajax;intr
SD420W;Ajax HomeSiren white;840.10;966.12;966.115;1111.038;ajax;intr
SD421B;Ajax StreetSiren black;1667.00;1917.05;1917.05;2204.6075;ajax;intr
SD421W;Ajax StreetSiren white;1675.50;1926.83;1926.825;2215.8545;ajax;intr
;Ajax Detectors use BA34-4 Lithium 3V C2R Batteries;;;0;0;;intr
;;;;0;0;;intr
Prices are subject to change without prior notice.;;;;0;0;;intr
E&OE. Valid until 31st March 2023.;Page: 28;;;0;0;;intr
www.REGALSECURITY.co.za;05-03-2023;;;0;0;;intr
;;;;0;0;;intr
Trade Price List;;;;0;0;;intr
INTRUSION;;;;0;0;;intr
;;;;0;0;;intr
HUB TECHNICAL SPECIFICATIONS;;;;0;0;;intr
;;;;0;0;;intr
Prices are subject to change without prior notice.;;;;0;0;;intr
E&OE. Valid until 31st March 2023.;Page: 29;;;0;0;;intr
www.REGALSECURITY.co.za;05-03-2023;;;0;0;;intr
;;;;0;0;;intr
Trade Price List;;;;0;0;;intr
"CONTROL PANELS; BEAMS; DETECTORS AND ACCESSORIES";;;;0;0;;intr
;;;;0;0;;intr
LightSYS2 - LightSYS Plus Base Kits;;;;0;0;;intr
;;;;0;0;;intr
CP220;"LightSYS2 Basic Kit -Keypad; PSU & Plast";1761.00;2025.15;2025.15;2328.9225;lightsys;intr
CP221-K1;LightSYS Plus Kit 1 Standard PSU and Hou;2595.00;2984.25;2984.25;3431.8875;lightsys;intr
CP221-K2;LightSYS Plus Kit 2 Large PSU and Housin;3375.00;3881.25;3881.25;4463.4375;lightsys;intr
LightSYS2 - LightSYS Plus Keypads;;;;0;0;lightsys;intr
CP181-6;LightSYS LCD Keypad;773.00;888.95;888.95;1022.2925;lightsys;intr
CP181-8;"Elegant Keypad; White w-Prox";2011.00;2312.65;2312.65;2659.5475;lightsys;intr
CP182-8;"Elegant Keypad; Black w- Prox";1998.00;2297.70;2297.7;2642.355;lightsys;intr
CP181-9;Panda Wired Keypad without Prox;1461.00;1680.15;1680.15;1932.1725;lightsys;intr
CP181-10;RisControl IPS Touchscreen KP;4512.00;5188.80;5188.8;5967.12;lightsys;intr
CP182-7;LightSYS Panda Wireless Keypad 868MHz;1825.00;2098.75;2098.75;2413.5625;lightsys;intr
LightSYS2 - LightSYS Plus Expanded;;;;0;0;lightsys;intr
CP169;Expander Single Zone Bus;223.00;256.45;256.45;294.9175;lightsys;intr
CP172-1;LightSYS2 & ProSYS Plus 4 Relay Output;1028.00;1182.20;1182.2;1359.53;lightsys;intr
CP179;LightSYS2 & ProSYS Plus 8 zone expander;573.00;658.95;658.95;757.7925;lightsys;intr
CP189;LightSys & ProSys plus 32 Zone WL Rec 43;935.00;1075.25;1075.25;1236.5375;lightsys;intr
CP189-1;LightSys & ProSys Plus 32 Zone WL Rec 86;859.00;987.85;987.85;1136.0275;lightsys;intr
CP182-10;Risco 2-Way Wireless Slim White Keypad;1582.80;1820.22;1820.22;2093.253;lightsys;intr
LightSYS2 - LightSYS Plus PSU;;;;0;0;lightsys;intr
CP174-1;PROSYS PSU Bus pcb Exp 3A 16VAC Input;1432.00;1646.80;1646.8;1893.82;lightsys;intr
CP174-2;"L & P 3A PSU w- 2 outputs; Metal Box";2196.00;2525.40;2525.4;2904.21;lightsys;intr
CP174-3;Supervised 3A Power Supply PCB w- 2 O;1728.00;1987.20;1987.2;2285.28;lightsys;intr
LightSYS2 - LightSYS Plus Connect;;;;0;0;lightsys;intr
CP184;ProSYS Plus & LightSYS IP Plug-in Module;973.00;1118.95;1118.95;1286.7925;lightsys;intr
CP194;LightSYS2 Adaptor from panel to PC USB;2263.49;2603.01;2603.0135;2993.4615;lightsys;intr
CP208-2;LightSYS Plus 4G Module + Antenna - EU;2149.00;2471.35;2471.35;2842.0525;lightsys;intr
CP208-3;LightSYS2 4G Module plus Antenna;2169.00;2494.35;2494.35;2868.5025;lightsys;intr
CP211;ProSYS Plus and LightSYS Plug-In IP Mod;549.00;631.35;631.35;726.0525;lightsys;intr
LightSYS2 - Light5SYS Plus Component;;;;0;0;lightsys;intr
RCP220;LightSYS Main PCB Only;1036.00;1191.40;1191.4;1370.11;lightsys;intr
RCP220-1;LightSYS2 Polycarbonate Alarm Panel Box;188.15;216.37;216.3725;248.8255;lightsys;intr
RCP221;LightSYS Plus Main Board;2164.00;2488.60;2488.6;2861.89;lightsys;intr
RCP221-7;LightSYS Plus small plastic box + TMP;512.00;588.80;588.8;677.12;lightsys;intr
RCP221-8;LightSYS Plus large plastic box + TMP;1059.00;1217.85;1217.85;1400.5275;lightsys;intr
;;;;0;0;lightsys;intr
Prices are subject to change without prior notice.;;;;0;0;lightsys;intr
E&OE. Valid until 31st March 2023.;Page: 30;;;0;0;lightsys;intr
www.REGALSECURITY.co.za;05-03-2023;;;0;0;lightsys;intr
;;;;0;0;lightsys;intr
Trade Price List;;;;0;0;lightsys;intr
"CONTROL PANELS; BEAMS; DETECTORS AND ACCESSORIES";;;;0;0;lightsys;intr
Our Code;Item Description;Trade Excl VAT;Trade Incl VAT;#VALUE!;#VALUE!;lightsys;intr
ProSYS PLUS;;;;0;0;lightsys;intr
CP180-3;ProSYS Plus Alarm Panel in Metal Box;3893.00;4476.95;4476.95;5148.4925;lightsys;intr
RCP180;ProSYS Plus Kit Main Plus Power Supply;2977.00;3423.55;3423.55;3937.0825;lightsys;intr
RCP165-3-1;PROSYS Metal Box White;532.80;612.72;612.72;704.628;lightsys;intr
ProSYS PLUS Keypad;;;;0;0;lightsys;intr
CP181-1;ProSYS LCD Keypad with icons;1299.82;1494.79;1494.793;1719.0085;lightsys;intr
CP181-8;"Elegant Keypad; White w-Prox";2011.00;2312.65;2312.65;2659.5475;lightsys;intr
CP182-8;"Elegant Keypad; Black w- Prox";1998.00;2297.70;2297.7;2642.355;lightsys;intr
CP181-9;Panda Wired Keypad without Prox;1461.00;1680.15;1680.15;1932.1725;lightsys;intr
CP181-10;RisControl IPS Touchscreen KP;4512.00;5188.80;5188.8;5967.12;lightsys;intr
CP182-7;LightSYS Panda Wireless Keypad 868MHz;1825.00;2098.75;2098.75;2413.5625;lightsys;intr
CP182-10;Risco 2-Way Wireless Slim White Keypad;1582.80;1820.22;1820.22;2093.253;lightsys;intr
ProSYS PLUS Connect;;;;0;0;lightsys;intr
CP184;ProSYS Plus & LightSYS IP Plug-in Module;973.00;1118.95;1118.95;1286.7925;lightsys;intr
CP207;ProSYS Plus PSTN Plug-in Module;883.20;1015.68;1015.68;1168.032;lightsys;intr
CP208-2;LightSYS Plus 4G Module + Antenna - EU;2149.00;2471.35;2471.35;2842.0525;lightsys;intr
CP208-3;LightSYS2 4G Module plus Antenna;2169.00;2494.35;2494.35;2868.5025;lightsys;intr
CP209-1;ProSYS Plus Plug-in 2GModule - Metal Box;1849.00;2126.35;2126.35;2445.3025;lightsys;intr
;ProSYS PLUS Expanded;;;0;0;lightsys;intr
CP169;Expander Single Zone Bus;223.00;256.45;256.45;294.9175;lightsys;intr
CP171-2;ProSYS Plus 16 zone expander;997.20;1146.78;1146.78;1318.797;lightsys;intr
CP172-1;LightSYS2 & ProSYS Plus 4 Relay Output;1028.00;1182.20;1182.2;1359.53;lightsys;intr
CP179;LightSYS2 & ProSYS Plus 8 zone expander;573.00;658.95;658.95;757.7925;lightsys;intr
CP189;LightSys & ProSys plus 32 Zone WL Rec 43;935.00;1075.25;1075.25;1236.5375;lightsys;intr
CP189-1;LightSys & ProSys Plus 32 Zone WL Rec 86;859.00;987.85;987.85;1136.0275;lightsys;intr
ProSYS PLUS PSU;;;;0;0;lightsys;intr
CP174-1;PROSYS PSU Bus pcb Exp 3A 16VAC Input;1432.00;1646.80;1646.8;1893.82;lightsys;intr
CP174-2;"L & P 3A PSU w- 2 outputs; Metal Box";2196.00;2525.40;2525.4;2904.21;lightsys;intr
CP174-3;Supervised 3A Power Supply PCB w- 2 O;1728.00;1987.20;1987.2;2285.28;lightsys;intr
CP174-4;ProSYS BASIC B2BOX Only  + Tamper Switch;896.00;1030.40;1030.4;1184.96;lightsys;intr
RCP221-3;4.5Amp Power Supply without AC cable;485.00;557.75;557.75;641.4125;lightsys;intr
ProSYS PLUS License;;;;0;0;lightsys;intr
CPS001;ProSYS Plus Single Zone License;45.60;52.44;52.44;60.306;lightsys;intr
;;;;0;0;;intr
Prices are subject to change without prior notice.;;;;0;0;;intr
E&OE. Valid until 31st March 2023.;Page: 31;;;0;0;;intr
www.REGALSECURITY.co.za;05-03-2023;;;0;0;;intr
;;;;0;0;;intr
Trade Price List;;;;0;0;;intr
"CONTROL PANELS; BEAMS; DETECTORS AND ACCESSORIES";;;;0;0;;intr
Our Code;Item Description;Trade Excl VAT;Trade Incl VAT;#VALUE!;#VALUE!;;intr
Risco Indoor Wired;;;;0;0;;intr
BD151-1;PIR Zodiac Quad;120.00;187.45;138;215.5675;risco;intr
BD151-10;PIR Bracket Zodiac;8.40;9.66;9.66;11.109;risco;intr
BD152;PIR iWise Anti-Cloak;618.00;710.70;710.7;817.305;risco;intr
BD152-7;PIR Bracket iWise Wall Mnt;98.00;112.70;112.7;129.605;risco;intr
BD152-8;PIR Bracket iWise Ceiling Mnt;98.00;112.70;112.7;129.605;risco;intr
BD156-5;PIR WatchIn DT AM Ind Detector;2791.20;3209.88;3209.88;3691.362;risco;intr
BD157;PIR BWare DT Grade 2;536.00;616.40;616.4;708.86;risco;intr
BD157-1;PIR BWare DT AM Grade 3 15m;955.00;1098.25;1098.25;1262.9875;risco;intr
BD157-3;PIR BWare DT Bus Grade 2 15m;634.00;729.10;729.1;838.465;risco;intr
BD157-8;PIR BWare Wall or Ceiling Mnt Bracket;98.00;112.70;112.7;129.605;risco;intr
BD157-9;PIR BWare QUAD AM Grade 3;628.00;722.20;722.2;830.53;risco;intr
BD160-1;PIR Lunar 360 Deg Ceiling Mnt;520.00;598.00;598;687.7;risco;intr
BD184-4;PIR Digi-Sense 12m 32kg Pet;278.00;319.70;319.7;367.655;risco;intr
BD184-9;Digi-Sense Swivel Bracket for Quad 12m;29.00;33.35;33.35;38.3525;risco;intr
BD154-1;PIR Lunar Ind 8.6m 360 Deg;2173.00;2498.95;2498.95;2873.7925;risco;intr
BD154-4;PIR Lunar Ind Programmer;1230.00;1414.50;1414.5;1626.675;risco;intr
BD156-5;PIR WatchIn DT AM Ind Detector;2791.20;3209.88;3209.88;3691.362;risco;intr
Risco Detect;;;;0;0;risco;intr
BD80;Seismic Detector;2466.00;2835.90;2835.9;3261.285;risco;intr
BD170;ShockTec Digital Detector;446.00;512.90;512.9;589.835;risco;intr
BD155-5;GBD Vitron Plus RG71FM Glass Break Detec;449.00;516.35;516.35;593.8025;risco;intr
BD155-1;Vitron Glass Break Detector Bracket RG 6;17.00;19.55;19.55;22.4825;risco;intr
BD155-2;Vitron Glass Break Detector Tester;1893.00;2176.95;2176.95;2503.4925;risco;intr
Risco Outdoor Wired;;;;0;0;risco;intr
BD161;WatchOut DT AM Out Detector;2698.00;3102.70;3102.7;3568.105;risco;intr
BD161-5;PIR WatchOut Swivel Bracket;172.00;197.80;197.8;227.47;risco;intr
BD161-6;PIR WatchOut Pole Mnt Bracket;258.00;296.70;296.7;341.205;risco;intr
BD161-8;PIR WatchOut Conduit Adaptor Bracket;93.60;107.64;107.64;123.786;risco;intr
BD161-9;PIR WatchOut Swivel Conduit Adaptor Brac;159.60;183.54;183.54;211.071;risco;intr
BD162;PIR Beyond DT Anti-Masking Out Detector;1785.00;2052.75;2052.75;2360.6625;risco;intr
BD162-9;PIR Beyond 180 Deg Swivel Bracket for BD;319.00;366.85;366.85;421.8775;risco;intr
;;;;0;0;risco;intr
Prices are subject to change without prior notice.;;;;0;0;risco;intr
E&OE. Valid until 31st March 2023.;Page: 32;;;0;0;risco;intr
www.REGALSECURITY.co.za;05-03-2023;;;0;0;risco;intr
;;;;0;0;risco;intr
Trade Price List;;;;0;0;risco;intr
"CONTROL PANELS; BEAMS; DETECTORS AND ACCESSORIES";;;;0;0;risco;intr
Our Code;Item Description;Trade Excl VAT;Trade Incl VAT;#VALUE!;#VALUE!;risco;intr
Risco Wireless;;;;0;0;risco;intr
CP189-1;LightSys & ProSys Plus 32 Zone WL Rec 86;859.00;987.85;987.85;1136.0275;risco;intr
BD154-6;PIR 2-Way WL iWave DT 868 MHz;997.20;1146.78;1146.78;1318.797;risco;intr
BD154-7;PIR 2-Way WL iWave DT Pet 868 MHz;990.00;1138.50;1138.5;1309.275;risco;intr
BD154-8;PIR 2-Way WL iWave PIR 868 MHz;844.00;970.60;970.6;1116.19;risco;intr
BD154-9;PIR 2-Way WL iWave Pet 868 MHz;729.00;838.35;838.35;964.1025;risco;intr
BD156-9;PIR 12m Out Curtain AM WL IP67 868 MHz;1328.00;1527.20;1527.2;1756.28;risco;intr
BD163-1;PIR WatchOut 2-Way WL 868 MHz;2395.00;2754.25;2754.25;3167.3875;risco;intr
MC42-2;2-Way Door Window Contact 868 MHz;764.00;878.60;878.6;1010.39;risco;intr
MC42-3;2-Way Multi Function Contacts 868Mhz;679.00;780.85;780.85;897.9775;risco;intr
BD172-1;1-Way WL Shock Detector 868 MHz;452.40;520.26;520.26;598.299;risco;intr
BD172-2;1-Way WL Shock Contact 868 MHz;962.00;1106.30;1106.3;1272.245;risco;intr
BD172-3;1-Way WL Glass break Detector 868 MHz;967.99;1113.19;1113.1885;1280.1685;risco;intr
FR41;Smoke & Heat Detector 1 & 2-Way 868 MHz;1423.20;1636.68;1636.68;1882.182;risco;intr
SW153-3;Keyfob 2 Button Panic 868 MHz;442.80;509.22;509.22;585.603;risco;intr
SW153-4;2-Way WL Remote Control 868 MHz;718.80;826.62;826.62;950.613;risco;intr
SW153-5;Risco 8 Buttons 2Way KeyFob 868MHz;736.90;847.44;847.435;974.556;risco;intr
SW153-6;Risco Panda 2Way KeyFob 868MHz;573.00;658.95;658.95;757.7925;risco;intr
SW156;Wristband Panic Transmitter 868 MHz;649.00;746.35;746.35;858.3025;risco;intr
Risco VUpoint;;;;0;0;risco;intr
CC253-4;Cam 2MP VU Point PoE Bullet;1959.00;2252.85;2252.85;2590.7775;risco;intr
CC253-5;Cam 2MP VU Point WiFi Dome;1782.00;2049.30;2049.3;2356.695;risco;intr
CC253-6;Cam 2MP VU Point WiFi Bullet;1946.00;2237.90;2237.9;2573.585;risco;intr
Risco App;;;;0;0;risco;intr
CPS002;iRisco App Andriod & iOS v 4.2.2;-;-;#VALUE!;#VALUE!;risco;intr
CPS003;VUpoint Non-Risco Cam License;691.00;794.65;794.65;913.8475;risco;intr
Risco Control;;;;0;0;risco;intr
CPW01;Z-wave 16A 3Pin Power Switch;930.00;1069.50;1069.5;1229.925;risco;intr
CPW02;Z-wave Flood + Humidity + Temperature;738.00;848.70;848.7;976.005;risco;intr
CPW03;Z-wave In Wall Dual Relay (1 Way) Switch;756.00;869.40;869.4;999.81;risco;intr
;;;;0;0;;intr
Prices are subject to change without prior notice.;;;;0;0;;intr
E&OE. Valid until 31st March 2023.;Page: 33;;;0;0;;intr
www.REGALSECURITY.co.za;05-03-2023;;;0;0;;intr
;;;;0;0;;intr
Trade Price List;;;;0;0;;intr
"CONTROL PANELS; BEAMS; DETECTORS AND ACCESSORIES";;;;0;0;;intr
Our Code;Item Description;Trade Excl VAT;Trade Incl VAT;#VALUE!;#VALUE!;;intr
;IDS CONTROL PANELS & ACCESSORIES;;;0;0;;intr
CP46-4;IDS 805 Alarm Panel - Comms;820.00;943.00;943;1084.45;ids;intr
CP46-5;IDS 805 Alarm Panel - No Comms;769.00;884.35;884.35;1017.0025;ids;intr
CP46-6;IDS 806 8 Zone Alarm Panel 24VDC;712.35;819.20;819.2025;942.08;ids;intr
CP60;IDS X16 - Panel - 8 Zone Exp to 16 Zones;955.00;1098.25;1098.25;1262.9875;ids;intr
CP60-1;IDS X16 8 Zone Alarm Panel Exp 24VDC;941.00;1082.15;1082.15;1244.4725;ids;intr
CP60-4;IDS X16 8Zone Alarm Panel incl 24VDC PSU;1127.00;1296.05;1296.05;1490.4575;ids;intr
CP51-1;IDS X64 Serial - 8 Zone Alarm Panel Expa;1080.00;1242.00;1242;1428.3;ids;intr
CP51-2;IDS X64 - 8Z Alarm Panel incl 24VDC PSU;1234.00;1419.10;1419.1;1631.965;ids;intr
IDS KEYPADS;;;;0;0;ids;intr
CP48-4;IDS 806 8 Zone Alarm Keypad;544.00;625.60;625.6;719.44;ids;intr
CP52;IDS XSeries - 16 Zone LED Classic Keypad;599.00;688.85;688.85;792.1775;ids;intr
CP52-1;IDS XSeries - 16 Zone LED Curve Keypad;644.00;740.60;740.6;851.69;ids;intr
CP52-2;IDS XSeries - Multi LCD Curve Keypad;890.00;1023.50;1023.5;1177.025;ids;intr
CP52-4;IDS XSeries Soft Touch White LCD Keypad;968.00;1113.20;1113.2;1280.18;ids;intr
CP52-5;IDS XSeries Soft Touch Black LCD Keypad;969.00;1114.35;1114.35;1281.5025;ids;intr
;;;;0;0;ids;intr
;IDS ZONE EXPANDERS;;;0;0;ids;intr
CP53;IDS XSeries - 8 Zone Expander 9-16 Zone;204.00;234.60;234.6;269.79;ids;intr
CP64-1;IDS XSeries 8 Zone Smart Bus Exp Module;308.00;354.20;354.2;407.33;ids;intr
CP64-4;IDS XSeries 8 Zone Smart Expander;328.00;377.20;377.2;433.78;ids;intr
;;;;0;0;ids;intr
;IDS ANCILLARY DEVICES;;;0;0;ids;intr
CP54;IDS XSeries - Bus Receiver 2 Relay;385.00;442.75;442.75;509.1625;ids;intr
CP55-3;IDS DTMF Radio Interface Plug-in Module;135.00;155.25;155.25;178.5375;ids;intr
CP57;IDS XSeries SMS Module;1020.00;1173.00;1173;1348.95;ids;intr
CP62-2;IDS XSeries RS485 Key Bus Isolator;354.00;407.10;407.1;468.165;ids;intr
CP64;IDS X-SPS Smart Power Supply;592.00;680.80;680.8;782.92;ids;intr
CP64-1;IDS XSeries 8 Zone Smart Bus Exp Module;308.00;354.20;354.2;407.33;ids;intr
CP64-2;IDS XSeries 8 Ch Output Exp 8 x 1A Relay;672.00;772.80;772.8;888.72;ids;intr
CP48-9;IDS 806 Wireless Receiver Add-on Module;196.00;225.40;225.4;259.21;ids;intr
CP48-10;IDS Serial Interface Cable;306.00;351.90;351.9;404.685;ids;intr
CP48-12;IDS Remote Rx Analogue Bus 2 Channel 3A;341.00;392.15;392.15;450.9725;ids;intr
CP62-3;IDS 805 Key-Bus Interface Module;264.00;303.60;303.6;349.14;ids;intr
SW195;IDS 4 Button Transmitter;135.40;155.71;155.71;179.0665;ids;intr
SW195-6;IDS XSeries Remote Receiver Kit;557.00;640.55;640.55;736.6325;ids;intr
CP43-2;IDS 805 Control Card N-Comms;692.00;795.80;795.8;915.17;ids;intr
CP43-3;IDS 805 Control Card W-Comms;720.00;828.00;828;952.2;ids;intr
CP60-2;IDS X16 8 Zone Alarm PCB Only;1364.00;1568.60;1568.6;1803.89;ids;intr
CP60-3;IDS X16 8 Zone Alarm PCB Only 24VDC;941.00;1082.15;1082.15;1244.4725;ids;intr
CP43-4;IDS X64 Control Card;1334.00;1534.10;1534.1;1764.215;ids;intr
CP43-6;IDS X64 Series Panel Control Card;985.00;1132.75;1132.75;1302.6625;ids;intr
PS86;IDS 806 & XSeries Alarm Panel PSU 24VDC;212.00;243.80;243.8;280.37;ids;intr
;IDS WIRELESS OPTEX XWAVE DEVICES;;;0;0;ids;intr
CP63;Xwave Bus 16 Wireless Zone Expander;790.00;908.50;908.5;1044.775;ids;intr
CP63-2;Xwave2 Bi-Directional Wireless Bus Hub;629.00;723.35;723.35;831.8525;ids;intr
CP63-3;Xwave2 Input Output Module;429.00;493.35;493.35;567.3525;ids;intr
CP63-4;Xwave Wireless Repeater Module;1006.00;1156.90;1156.9;1330.435;ids;intr
MC43-1;Xwave2 Wireless Door Contact - WHITE;345.00;396.75;396.75;456.2625;ids;intr
MC43-2;Xwave2 Wireless Door Contact - BROWN;345.00;396.75;396.75;456.2625;ids;intr
SW157-1;Xwave 8Ch Standalone Wireless Receiver;768.00;883.20;883.2;1015.68;ids;intr
SW157-5;Xwave2 5 Button Remote;299.00;343.85;343.85;395.4275;ids;intr
SW157-6;IDS Xwave Remote;143.00;164.45;164.45;189.1175;ids;intr
SW157-7;IDS Xwave Remote Transmitter;139.00;159.85;159.85;183.8275;ids;intr
CP62-6;HYYP Module for 806 Alarm Panel;1500.00;1725.00;1725;1983.75;ids;intr
CP62-7;HYYP Dialler Interface;79.00;90.85;90.85;104.4775;ids;intr
CP62-8;HYYP Modem;1779.00;2045.85;2045.85;2352.7275;ids;intr
CP62-9;HYYP Base Station;4632.00;5326.80;5326.8;6125.82;ids;intr
CP62-10;HYYP Hub V2 bi-directional GSM M;1720.00;1978.00;1978;2274.7;ids;intr
CP62-13;HYYP Plug-in App Module X Series & 806;1524.00;1752.60;1752.6;2015.49;ids;intr
CP62-14;IDS HYYP IP Module;850.00;977.50;977.5;1124.125;ids;intr
CP62-15;IDS HYYP GSM Module for X Series Serial;1547.00;1779.05;1779.05;2045.9075;ids;intr
;;;;0;0;;intr
Prices are subject to change without prior notice.;;;;0;0;;intr
